LUGAR,MAQ,ENCUESTADOR,MES,DIA,ENC2,NUMDAT,HORA,CHOGAR,CODIGO_HOGAR_SIMPLE,ZONA,MANZANA,NFAM,NPERS,NKIDS,PPOSIB,NTRABAJAN,NESTUDIAN,NPMR,TIPOVIV,PROPVIV,ANTIGENVIV,IDIOMA,PLANES MUDAR,NSE DECL,NSE OBS,NUM AUTO,NUM AUT GARAGE,NUMBIC,USOBICI,100TPUB,10TPUB2 NOCTURNO,SE REFIERE,ORIGEN HAB,A DONDE SE MUDA,NUM HOGAR,DIST HOGAR
EL ALTO,WK034,27,6,13,27,2,110054,1327002,3893,237,11979,1,8,1,7,6,4,0,LADRILLO HASTA 2 P,PROPIA,20,CASTELLANO,NO,C  MEDIO,C  MEDIO,0,0,0,NADA,REGULAR,NO EXISTE,CONVENCIONAL,LA PAZ,,520,alto
EL ALTO,WK034,27,6,13,27,3,111629,1327003,3894,237,11979,1,7,2,5,2,5,0,ADOBE,ALQUILADA,2,AYMARA,NO,D  BAJO,E  MUY BAJO,0,0,2,DESPLAZAMIENTO COMPRAS,BUENO,EXISTE Y ES INSUFICIENTE,CONVENCIONAL,LA PAZ,,510,alto
EL ALTO,WK034,27,6,13,27,4,112553,1327004,3895,237,12122,1,7,2,5,2,5,0,LADRILLO HASTA 2 P,PROPIA,25,CASTELLANO,NO,C  MEDIO,C  MEDIO,0,0,0,NADA,REGULAR,NO EXISTE,CONVENCIONAL,LA PAZ,,564,alto
EL ALTO,WK034,27,6,13,27,5,114524,1327005,3896,237,11723,1,6,0,6,4,2,0,LADRILLO HASTA 2 P,PROPIA,20,CASTELLANO,NO,C  MEDIO,A  MUY ALTO,1,1,1,DESPLAZAMIENTO COMPRAS,REGULAR,EXISTE Y ES INSUFICIENTE,CONVENCIONAL,LA PAZ,,664,alto
EL ALTO,WK034,27,6,13,27,6,115611,1327006,3897,237,12156,1,3,0,3,2,1,0,ADOBE,PROPIA,18,CASTELLANO,"SI, A OTRA CIUDAD",C  MEDIO,C  MEDIO,1,1,1,RECREACION,REGULAR,NO EXISTE,CONVENCIONAL,LA PAZ,COCHABAMBA,672,alto
EL ALTO,WK034,27,6,13,27,7,120250,1327007,3898,237,12156,1,5,2,3,3,2,0,LADRILLO HASTA 2 P,PROPIA,7,AYMARA,NO,C  MEDIO,C  MEDIO,0,0,0,NADA,REGULAR,NO EXISTE,CONVENCIONAL,LA PAZ,,679,alto
EL ALTO,WK034,27,6,13,27,9,122239,1327009,3899,237,12140,2,10,2,8,4,3,0,LADRILLO HASTA 2 P,PROPIA,5,CASTELLANO,NO,C  MEDIO,B  ALTO,1,1,0,NADA,BUENO,NO EXISTE,CONVENCIONAL,LA PAZ,,685,alto
EL ALTO,WK034,27,6,13,27,10,123555,1327010,3900,237,12140,1,4,0,4,2,1,0,ADOBE,PROPIA,15,CASTELLANO,NO,C  MEDIO,C  MEDIO,0,0,0,NADA,REGULAR,NO EXISTE,CONVENCIONAL,LA PAZ,,26,alto
EL ALTO,WK034,27,6,13,27,12,134537,1327012,3901,237,12771,5,6,0,6,1,4,0,LADRILLO HASTA 2 P,PROPIA,30,CASTELLANO,NO,C  MEDIO,C  MEDIO,0,0,0,NADA,MALO,NO EXISTE,CONVENCIONAL,LA PAZ,,6450,alto
EL ALTO,WK034,27,6,13,27,13,135136,1327013,3902,237,12211,1,5,0,5,3,1,0,ADOBE,ANTICRÉTICO,1,AYMARA,NO,C  MEDIO,C  MEDIO,0,0,1,RECREACION,REGULAR,NO EXISTE,CONVENCIONAL,LA PAZ,,613,alto
EL ALTO,WK034,27,6,13,27,14,140704,1327014,3903,237,11670,2,6,1,5,2,3,0,LADRILLO HASTA 2 P,PROPIA,17,CASTELLANO,"SI, A OTRA CIUDAD",C  MEDIO,B  ALTO,1,1,0,NADA,REGULAR,NO EXISTE,CONVENCIONAL,LA PAZ,TARIJA,2740,alto
EL ALTO,WK034,27,6,13,27,15,141658,1327015,3904,237,11670,1,9,0,9,6,6,0,LADRILLO HASTA 2 P,PROPIA,2,CASTELLANO,NO,C  MEDIO,C  MEDIO,0,0,1,RECREACION,MALO,NO EXISTE,CONVENCIONAL,LA PAZ,,458,alto
EL ALTO,WK034,27,6,13,27,16,142544,1327016,3905,496,11512,1,6,0,6,3,4,0,ADOBE,PROPIA,17,CASTELLANO,NO,C  MEDIO,D  BAJO,0,0,0,NADA,REGULAR,NO EXISTE,CONVENCIONAL,LA PAZ,,11512,alto
EL ALTO,WK034,27,6,13,27,17,144747,1327017,3906,496,11512,2,4,0,4,2,0,0,LADRILLO MAS DE 2 P,PROPIA,20,CASTELLANO,NO,C  MEDIO,A  MUY ALTO,0,0,0,NADA,REGULAR,NO EXISTE,CONVENCIONAL,LA PAZ,,3284,alto
EL ALTO,WK034,27,6,13,27,18,150050,1327018,3907,237,12211,5,17,0,17,8,10,0,LADRILLO MAS DE 2 P,PROPIA,22,CASTELLANO,NO,C  MEDIO,B  ALTO,0,0,0,NADA,BUENO,EXISTE Y ES SUFICIENTE,CONVENCIONAL,LA PAZ,,616,alto
EL ALTO,WK034,27,6,13,27,19,151747,1327019,3908,496,10918,1,4,0,4,2,2,0,ADOBE,PROPIA,20,AYMARA,NO,D  BAJO,E  MUY BAJO,1,1,0,NADA,BUENO,EXISTE Y ES SUFICIENTE,CONVENCIONAL,LA PAZ,,519,alto
EL ALTO,WK034,27,6,13,27,20,152932,1327020,3909,496,10918,4,8,0,8,4,2,0,LADRILLO MAS DE 2 P,ALQUILADA,1,AYMARA,"SI, EN ESTA ZONA",C  MEDIO,A  MUY ALTO,0,0,0,NADA,MALO,NO EXISTE,CONVENCIONAL,LA PAZ,,323,alto
EL ALTO,WK034,27,6,13,27,22,154659,1327022,3910,496,10918,1,6,0,6,6,0,0,LADRILLO HASTA 2 P,PROPIA,40,AYMARA,NO,C  MEDIO,C  MEDIO,0,0,1,DESPLAZAMIENTO COMPRAS,REGULAR,NO VIAJO DE NOCHE,CONVENCIONAL,LA PAZ,,2524,alto
EL ALTO,WK034,27,6,13,27,23,155951,1327023,3911,496,11400,1,5,0,5,2,0,0,ADOBE,PROPIA,12,AYMARA,NO,C  MEDIO,D  BAJO,1,1,0,NADA,REGULAR,NO EXISTE,CONVENCIONAL,LA PAZ,,227,alt
EL ALTO,WK034,27,6,13,27,24,160542,1327024,3912,496,11400,1,5,0,5,4,2,0,LADRILLO HASTA 2 P,PROPIA,1,CASTELLANO,NO,C  MEDIO,B  ALTO,2,2,0,NADA,BUENO,EXISTE Y ES SUFICIENTE,CONVENCIONAL,LA PAZ,,8465,alto
