LUGAR,MAQ,MES,DIA,CODIGO_HOGAR_SIMPLE,ZONA,MANZANA,NPERSONA,10SEXO,EDAD,10OCUP,AUTO,10SEGUR TELEFERICO,INCIDENTE TELEFERICO,10ESTUDIOS,INGRESOS,VIAJO,cod est,cod tra
EL ALTO,WK034,6,13,3893,237,11979,1,HOMBRE,16 a 34,NADA,NO,NADA,NADA,UNIVERSITARIOS,MENOS DE 1600,SÍ,309,208
EL ALTO,WK034,6,13,3894,237,11979,1,HOMBRE,>64,TRABAJA,NO,NADA,NADA,PRIMARIA,MENOS DE 1600,SÍ,,365
EL ALTO,WK034,6,13,3895,237,12122,1,MUJER,35 a 64,OTROS,NO,NADA,NADA,SECUNDARIA,1600 A 3000,SÍ,,
EL ALTO,WK034,6,13,3895,237,12122,2,HOMBRE,35 a 64,OTROS,NO,"SÍ, ME SIENTO SEGURO",ATRACO,SECUNDARIA,1600 A 3000,SÍ,,461
EL ALTO,WK034,6,13,3896,237,11723,1,MUJER,16 a 34,OTROS,NO,NADA,NADA,SECUNDARIA,1600 A 3000,SÍ,522,
EL ALTO,WK034,6,13,3897,237,12156,1,MUJER,16 a 34,OTROS,NO,NADA,NADA,UNIVERSITARIOS,MENOS DE 1600,SÍ,,222
EL ALTO,WK034,6,13,3898,237,12156,1,HOMBRE,16 a 34,TRABAJA,NO,NADA,NADA,PRIMARIA,1600 A 3000,SÍ,,237
EL ALTO,WK034,6,13,3899,237,12140,1,MUJER,16 a 34,TRABAJA,NO,NADA,NADA,UNIVERSITARIOS,1600 A 3000,SÍ,309,
EL ALTO,WK034,6,13,3900,237,12140,1,HOMBRE,35 a 64,TRABAJA,NO,NADA,NADA,SECUNDARIA,MENOS DE 1600,SÍ,,237
EL ALTO,WK034,6,13,3901,237,12771,1,MUJER,35 a 64,OTROS,NO,NADA,NADA,PRIMARIA,1600 A 3000,SÍ,,
EL ALTO,WK034,6,13,3902,237,12211,1,HOMBRE,16 a 34,OTROS,NO,NADA,NADA,SECUNDARIA,MENOS DE 1600,SÍ,201,330
EL ALTO,WK034,6,13,3903,237,11670,1,MUJER,35 a 64,OTROS,NO,NADA,NADA,SECUNDARIA,1600 A 3000,SÍ,,
EL ALTO,WK034,6,13,3904,237,11670,1,HOMBRE,16 a 34,OTROS,NO,NADA,NADA,SECUNDARIA,MENOS DE 1600,SÍ,141,354
EL ALTO,WK034,6,13,3905,496,11512,1,HOMBRE,<16,OTROS,NO,NADA,NADA,SECUNDARIA,MENOS DE 1600,SÍ,235,355
EL ALTO,WK034,6,13,3906,496,11512,1,HOMBRE,35 a 64,OTROS,NO,NADA,NADA,SECUNDARIA,1600 A 3000,SÍ,,272
EL ALTO,WK034,6,13,3907,237,12211,1,MUJER,16 a 34,OTROS,NO,NADA,NADA,UNIVERSITARIOS,1600 A 3000,SÍ,201,309
EL ALTO,WK034,6,13,3908,496,10918,1,HOMBRE,35 a 64,OTROS,SI,NADA,NADA,SECUNDARIA,MENOS DE 1600,SÍ,,
EL ALTO,WK034,6,13,3909,496,10918,1,HOMBRE,35 a 64,TRABAJA,NO,NADA,NADA,SECUNDARIA,3000 A 6000,NO,,2
EL ALTO,WK034,6,13,3910,496,10918,1,HOMBRE,>64,OTROS,NO,NADA,NADA,SECUNDARIA,1600 A 3000,SÍ,,
EL ALTO,WK034,6,13,3911,496,11400,1,HOMBRE,35 a 64,OTROS,SI,NADA,NADA,SECUNDARIA,MENOS DE 1600,NO,,
EL ALTO,WK034,6,13,3912,496,11400,1,HOMBRE,16 a 34,OTROS,SI,NADA,NADA,UNIVERSITARIOS,1600 A 3000,SÍ,,317
