LUGAR,MAQ,ENCUESTADOR,MES,DIA,CODIGO_HOGAR_SIMPLE,ZONA,CUADRA,NPERS,NUMVIAJ,10*MOTORI,MOTDES,HHMM SALE,HHMMLLEG,10*MOD1,PORQUE,TEF_PUMA_ANTES1,TAR1,10*MOD2,PORQUE 1,TEF_PUMA_ANTES1 1,TAR2,10*MOD3,PORQUE 2,TEF_PUMA_ANTES1 2,TAR3,10*MOD4,PORQUE 3,TEF_PUMA_ANTES4,TEF_PUMA_ANTES1 3,TAR4,10*MOD5,PORQUE 4,TEF_PUMA_ANTES1 4,TAR5,cod ori,cod des
EL ALTO,WK034,27,6,13,3893,237,11979,1,1,CASA,ESTUDIOS,730,745,MINIBUS,TIEMPO,NADA,100,CAMINA,PRECIO,NADA,0,NADA,NADA,NADA,0,NADA,NADA,0,NADA,0,NADA,NADA,NADA,0,237,309
EL ALTO,WK034,27,6,13,3893,237,11979,1,2,ESTUDIOS,CASA,1230,1245,MINIBUS,TIEMPO,NADA,100,NADA,NADA,NADA,0,NADA,NADA,NADA,0,NADA,NADA,0,NADA,0,NADA,NADA,NADA,0,309,237
EL ALTO,WK034,27,6,13,3893,237,11979,1,3,CASA,TRABAJO,1300,1400,MINIBUS,TIEMPO,NADA,150,NADA,NADA,NADA,0,NADA,NADA,NADA,0,NADA,NADA,0,NADA,0,NADA,NADA,NADA,0,237,208
EL ALTO,WK034,27,6,13,3893,237,11979,1,4,TRABAJO,CASA,1800,2100,MINIBUS,TRANSBORDOS,NADA,200,NADA,NADA,NADA,0,NADA,NADA,NADA,0,NADA,NADA,0,NADA,0,NADA,NADA,NADA,0,208,237
EL ALTO,WK034,27,6,13,3894,237,11979,1,1,CASA,TRABAJO,600,700,MINIBUS,TIEMPO,NADA,150,NADA,NADA,NADA,0,NADA,NADA,NADA,0,NADA,NADA,0,NADA,0,NADA,NADA,NADA,0,237,335
EL ALTO,WK034,27,6,13,3894,237,11979,1,2,TRABAJO,CASA,1900,1930,MINIBUS,TIEMPO,NADA,150,NADA,NADA,NADA,0,NADA,NADA,NADA,0,NADA,NADA,0,NADA,0,NADA,NADA,NADA,0,335,237
EL ALTO,WK034,27,6,13,3895,237,12122,1,1,CASA,COMPRAS,700,800,MINIBUS,TIEMPO,NADA,150,NADA,NADA,NADA,0,NADA,NADA,NADA,0,NADA,NADA,0,NADA,0,NADA,NADA,NADA,0,237,354
EL ALTO,WK034,27,6,13,3895,237,12122,1,2,COMPRAS,CASA,1100,1145,MINIBUS,TIEMPO,NADA,150,NADA,NADA,NADA,0,NADA,NADA,NADA,0,NADA,NADA,0,NADA,0,NADA,NADA,NADA,0,354,237
EL ALTO,WK034,27,6,13,3895,237,12122,2,1,CASA,TRABAJO,545,700,MINIBUS,TRANSBORDOS,NADA,400,NADA,NADA,NADA,0,NADA,NADA,NADA,0,NADA,NADA,0,NADA,0,NADA,NADA,NADA,0,237,97
EL ALTO,WK034,27,6,13,3895,237,12122,2,2,TRABAJO,CASA,1700,1830,TELEFERICO,TIEMPO,MINIBUS,300,NADA,NADA,NADA,0,NADA,NADA,NADA,0,NADA,NADA,0,NADA,0,NADA,NADA,NADA,0,97,237
EL ALTO,WK034,27,6,13,3896,237,11723,1,1,CASA,ESTUDIOS,815,830,CAMINA,TIEMPO,NADA,0,NADA,NADA,NADA,0,NADA,NADA,NADA,0,NADA,NADA,0,NADA,0,NADA,NADA,NADA,0,237,522
EL ALTO,WK034,27,6,13,3896,237,11723,1,2,ESTUDIOS,CASA,1305,1330,CAMINA,COMODIDAD,NADA,0,NADA,NADA,NADA,0,NADA,NADA,NADA,0,NADA,NADA,0,NADA,0,NADA,NADA,NADA,0,522,237
EL ALTO,WK034,27,6,13,3897,237,12156,1,1,CASA,TRABAJO,1400,1420,BUS,COMODIDAD,NADA,100,NADA,NADA,NADA,0,NADA,NADA,NADA,0,NADA,NADA,0,NADA,0,NADA,NADA,NADA,0,237,222
EL ALTO,WK034,27,6,13,3897,237,12156,1,2,TRABAJO,CASA,1800,1845,BUS,COMODIDAD,NADA,100,NADA,NADA,NADA,0,NADA,NADA,NADA,0,NADA,NADA,0,NADA,0,NADA,NADA,NADA,0,222,237
EL ALTO,WK034,27,6,13,3898,237,12156,1,1,CASA,COMPRAS,730,800,MINIBUS,TIEMPO,NADA,150,NADA,NADA,NADA,0,NADA,NADA,NADA,0,NADA,NADA,0,NADA,0,NADA,NADA,NADA,0,237,354
EL ALTO,WK034,27,6,13,3898,237,12156,1,2,COMPRAS,CASA,1000,1045,TAXI,COMODIDAD,NADA,2000,NADA,NADA,NADA,0,NADA,NADA,NADA,0,NADA,NADA,0,NADA,0,NADA,NADA,NADA,0,354,237
